"Tytuł projektu";"Kierownik projektu";"Data rozpoczęcia realizacji projektu";"Termin zakończenia";"Instytucja finansująca";"Środki finansowe ogółem (PLN)";"Rodzaj projektu";"Nazwa programu";"Instytucja/Jednostka realizująca";"Adres jednostki realizującej";"Status projektu";
"Intellinent Transport Systems New ICT - based Masteris Curricula in Uzbekistan";"dr hab. Joanna Żukowska";"2017-10-15";"2020-10-14";"
    •  inna (EACEA)

";3422363;1;"Projekt w ramach programu Unii Europejskiej";"Inny program (Erasmus+)";"
    •  Politechnika Gdańska; Wydział Inżynierii Lądowej i Środowiska

";"
    •  Gabriela Narutowicza 11/12, Gdańsk

";"W trakcie realizacji"
"Określenie profilu ekspresji długich niekodujących RNA (IncRNA) w neutrofilach pacjentów z ziarniniakowatością z zapaleniem naczyń (GPA).";"dr Magdalena Alicja Hubalewska-Mazgaj";"2017-10-14";"2018-10-13";"
    •  budżet - NCN

";49577;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"MINIATURA; edycja 1";"
    •  Instytut Farmakologii Polskiej Akademii Nauk

";"
    •  Smętna 12, Kraków

";"W trakcie realizacji";
"Struktura defektów oraz właściwości elektryczne tlenków metali przejściowych w zakresie średnich temperatur";"prof. dr hab. MIECZYSŁAW RĘKAS";"2017-10-13";"2020-10-12";"
    •  budżet - NCN

";799800;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"OPUS; edycja 12";"
    •  Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie; Wydział Inżynierii Materiałowej i Ceramiki

";"
    •  Aleja Adama Mickiewicza 30/B-8, Kraków

";"W trakcie realizacji";
"Całogenomowe poszukiwanie mutacji regulomu w płaskonabłonkowym raku krtani";"dr hab. Maciej Giefing";"2017-10-13";"2020-10-12";"
    •  budżet - NCN

";1650295;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"OPUS; edycja 12";"
    •  Instytut Genetyki Człowieka Polskiej Akademii Nauk
    •  Instytut Biologii Doświadczalnej im. Marcelego Nenckiego Polskiej Akademii Nauk

";"
    •  Strzeszyńska 32, Poznań
    •  Ludwika Pasteura 3, Warszawa

";"W trakcie realizacji";
"EUCiTEC – Inspiring European Citizenship through Educational Technology (Rozwój europejskich postaw obywatelskich poprzez wykorzystanie technologii edukacyjnych)";"mgr Monika Chmielecka";"2017-10-13";"2020-08-31";"
    •  środki Komisji Europejskiej

";1714231;25;"Projekt w ramach programu Unii Europejskiej";"Inny program (Erasmus+, KA2 Partnerstwa Strategiczne)";"
    •  University of Hull Wielka Brytania
    •  Uniwersytet Łódzki; Wydział Nauk o Wychowaniu

";"
    •  Cottingham Rd, -, Hull
    •  Pomorska 46/48, Łódź

";"W trakcie realizacji"
"Charakterystyka oraz opis efektów powstałych na granicy dwóch ośrodków o zmiennym wspólczynniku załamania z wykorzystaniem technologii światłowodowej. (NCN/07-160)";"dr Karol Antoni Stasiewicz";"2017-10-13";"2018-10-12";"
    •  budżet - NCN

";28754;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"MINIATURA; edycja 1";"
    •  Wojskowa Akademia Techniczna im. Jarosława Dąbrowskiego; Wydział Nowych Technologii i Chemii

";"
    •  Gen. Witolda Urbanowicza 2, Warszawa

";"W trakcie realizacji";
"Charakterystyka nowych miRNA w jęczmieniu.";"Aleksandra Helena Smoczyńska";"2017-10-13";"2020-10-12";"
    •  budżet - NCN

";149964;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"PRELUDIUM; edycja 12";"
    •  Uniwersytet im. Adama Mickiewicza w Poznaniu; Wydział Biologii

";"
    •  Umultowska 89/0, Poznań

";"W trakcie realizacji";
"Wstępne badania anomalii geochemicznej europu na tle profilu pierwiastków ziem rzadkich w próbkach roślin z gatunku Juncus effesus L.";"dr Karina Krzciuk";"2017-10-13";"2018-10-12";"
    •  budżet - NCN

";33913;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"MINIATURA; edycja 1";"
    •  Uniwersytet Jana Kochanowskiego w Kielcach; Wydział Matematyczno-Przyrodniczy

";"
    •  Świętokrzyska 15, Kielce

";"W trakcie realizacji";
"Zwiększanie współczynnika sztywności pasywnej przekładni magnetycznej.";"dr JANUSZ PIOTR KOŁODZIEJ";"2017-10-13";"2018-10-12";"
    •  budżet - NCN

";9130;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"MINIATURA";"
    •  Politechnika Opolska; Wydział Elektrotechniki, Automatyki i Informatyki

";"
    •  Prószkowska 76, Opole

";"W trakcie realizacji";
"Interdyscyplinarne metody tworzenia i funkcjonalizacji materiałów biomimetycznych bazujące na odtkankowej macierzy zewnątrzkomórkowej";"dr hab. Łukasz Major";"2017-10-12";"2020-10-11";"
    •  budżet - NCN

";1155250;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"OPUS; edycja 12";"
    •  Instytut Metalurgii i Inżynierii Materiałowej im. Aleksandra Krupkowskiego Polskiej Akademii Nauk
    •  Fundacja Rozwoju Kardiochirurgii im. prof. Zbigniewa Religi
    •  Wojskowa Akademia Techniczna im. Jarosława Dąbrowskiego; Instytut Optoelektroniki

";"
    •  Władysława Stanisława Reymonta 25, Kraków
    •  Wolności 345A, Zabrze
    •  Gen. Witolda Urbanowicza 2, Warszawa

";"W trakcie realizacji";
"Wieloskalowa analiza procesów fizykochemicznych podczas szybkiego prototypowania z wykorzystaniem skoncentrowanych źródeł energii w aspekcie kształtowania mikrostruktury i własności mechanicznych tworzyw metalicznych";"prof. dr hab. Jan Dutkiewicz";"2017-10-12";"2020-10-11";"
    •  budżet - NCN

";992382;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"OPUS; edycja 12";"
    •  Instytut Metalurgii i Inżynierii Materiałowej im. Aleksandra Krupkowskiego Polskiej Akademii Nauk
    •  Instytut Spawalnictwa
    •  Politechnika Świętokrzyska; Wydział Mechatroniki i Budowy Maszyn

";"
    •  Władysława Stanisława Reymonta 25, Kraków
    •  bł. Czesława 16-18, Gliwice
    •  Tysiąclecia Państwa Polskiego 7, Kielce

";"W trakcie realizacji";
"Badanie oddziaływania odlewni metali nieżelaznych na pobliski ekosystem leśny: wpływ emisji metali ciężkich na glebę i grzyby";"Martyna Danuta Saba";"2017-10-12";"2020-10-11";"
    •  budżet - NCN

";146822;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"PRELUDIUM; edycja 12";"
    •  Uniwersytet Gdański; Wydział Chemii

";"
    •  Wita Stwosza 63, Gdańsk

";"W trakcie realizacji";
"Selektywność funkcjonalna nowych ligandów receptora histaminowego H4";"mgr Agnieszka Urszula Olejarz";"2017-10-12";"2019-10-11";"
    •  budżet - NCN

";99940;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"PRELUDIUM; edycja 12";"
    •  Uniwersytet Jagielloński w Krakowie; Collegium Medicum; Wydział Farmaceutyczny

";"
    •  Medyczna 9, Kraków

";"W trakcie realizacji";
"Recepcja przekładów literatury iberoamerykańskiej w Polsce w latach 1945-2005 z perspektywy komunikacji międzykultrurowej";"dr hab. Małgorzata Gaszyńska-Magiera";"2017-10-12";"2019-03-11";"
    •  budżet - MNiSW

";55093;"Projekt finansowany przez ministra właściwego do spraw nauki";"Narodowy Program Rozwoju Humanistyki; konkurs 84";"
    •  Uniwersytet Warszawski; Wydział Lingwistyki Stosowanej

";"
    •  Szturmowa 4, Warszawa

";"W trakcie realizacji";
"Identyfikacja mechanizmu uwrażliwiania komórek ludzkiego raka jajnika na leki przeciwnowotworowe za pomocą inhibitorów szlaków naprawy podwójnych pęknięć DNA";"Anna Macieja";"2017-10-12";"2020-10-11";"
    •  budżet - NCN

";148800;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"PRELUDIUM; edycja 12";"
    •  Uniwersytet Łódzki; Wydział Biologii i Ochrony Środowiska

";"
    •  Józefa Pilarskiego 14/16, Łódź

";"W trakcie realizacji";
"Jeśli nie monolit ceramiczny to co? Opracowanie reaktora katalitycznego z wypełnieniem w postaci pian stałych do dopalania metanu";"prof. dr hab. MACIEJ TOMASZ SITARZ";"2017-10-12";"2020-10-11";"
    •  budżet - NCN

";1391000;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"OPUS; edycja 12";"
    •  Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie; Wydział Inżynierii Materiałowej i Ceramiki

";"
    •  Aleja Adama Mickiewicza 30/B-8, Kraków

";"W trakcie realizacji";
"Tłumaczenie na język angielski i publikacja w Peter Lang International Academic Publishers (Frankfurt am Main) książki pt. Festa i muzyka na dworze Marii Kazimiery Sobieskiej w Rzymie (1699-1714)";"dr Aneta Markuszewska";"2017-10-12";"2020-10-11";"
    •  budżet - MNiSW

";59795;"Projekt finansowany przez ministra właściwego do spraw nauki";"Narodowy Program Rozwoju Humanistyki; konkurs 84";"
    •  Uniwersytet Warszawski; Wydział Historyczny

";"
    •  Krakowskie Przedmieście 26/28, Warszawa

";"W trakcie realizacji";
"Rola ślimaków skorupowych w rozprzestrzenianiu nicieni z nadrodziny Metastrongyloidae.";"Witold Jeżewski, DR";"2017-10-12";"2018-10-11";"
    •  budżet - MNiSW
    •  budżet - NCN

";50000;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"MINIATURA";"
    •  Instytut Parazytologii im. Witolda Stefańskiego Polskiej Akademii Nauk

";"
    •  Twarda 51/55, Warszawa

";"W trakcie realizacji";
"Jeśli nie monolit ceramiczny to co? Opracowanie reaktora katalitycznego z wypełnieniem w postaci pian stałych do dopalania metanu.";"dr hab. Joanna Łojewska";"2017-10-12";"2020-10-11";"
    •  budżet - NCN

";1391000;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"OPUS; edycja 12";"
    •  Uniwersytet Jagielloński w Krakowie; Wydział Chemii
    •  Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie; Wydział Inżynierii Materiałowej i Ceramiki
    •  Instytut Inżynierii Chemicznej Polskiej Akademii Nauk

";"
    •  Gronostajowa 2, Kraków
    •  Aleja Adama Mickiewicza 30/B-8, Kraków
    •  Bałtycka 5, Gliwice

";"W trakcie realizacji";
"Opracowanie nowych metod pomiarowych dla holograficznej pęsety optycznej";"Weronika Agata Lamperska";"2017-10-12";"2021-04-11";"
    •  budżet - MNiSW

";216500;"Projekt finansowany przez ministra właściwego do spraw nauki";"Program ""Diamentowy Grant""; konkurs 45";"
    •  Politechnika Wrocławska; Wydział Podstawowych Problemów Techniki

";"
    •  Stanisława Wyspiańskiego 27, Wrocław

";"W trakcie realizacji";
"Identyfikacja nowych zmian genetycznych przedwczesnego zarośnięcia szwów czaszkowych u dzieci przy zastosowaniu nowoczesnych technik sekwencjonowania oraz porównawczej hybrydyzacji całogenomowej do mikromacierzy";"Ewelina Maria Olech";"2017-10-11";"2020-10-10";"
    •  budżet - NCN

";150000;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"PRELUDIUM; edycja 12";"
    •  Uniwersytet Medyczny im. Karola Marcinkowskiego w Poznaniu; Wydział Lekarski I

";"
    •  Aleksandra Fredry 10, Poznań

";"W trakcie realizacji";
"Rola interferonu lambda (IFN-L) w rozwoju immunologicznych mechanizmów przeciwnowotworowych w trakcie progresji raka sutka suki.";"dr Joanna Milena Mucha";"2017-10-11";"2020-10-10";"
    •  budżet - NCN

";671700;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"SONATA";"
    •  Szkoła Główna Gospodarstwa Wiejskiego w Warszawie; Wydział Medycyny Weterynaryjnej

";"
    •  Nowoursynowska 159, Warszawa

";"W trakcie realizacji";
"Smutek o wysokiej lub niskiej motywacji dążącej oraz jego poznawcze i psychofizjologiczne korelaty.";"Olga Katarzyna Kamińska";"2017-10-11";"2019-10-10";"
    •  budżet - NCN

";98920;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"PRELUDIUM; edycja 12";"
    •  SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie; Wydział Psychologii

";"
    •  Chodakowska 19/31, Warszawa

";"W trakcie realizacji";
"Budowa i implementacja dynamicznego modelu 1 kW stosu węglanowych ogniw paliwowych";"mgr inż. Arkadiusz Szczęśniak";"2017-10-11";"2019-10-10";"
    •  budżet - NCN

";49200;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"PRELUDIUM; edycja 12";"
    •  Politechnika Warszawska; Wydział Mechaniczny Energetyki i Lotnictwa

";"
    •  Nowowiejska 24, Warszawa

";"W trakcie realizacji";
"Zróżnicowanie technogenicznych cząstek magnetycznych w środowisku glebowym w zależności od źródeł emisji i ich rola w transporcie potencjalnie toksycznych pierwiastków";"dr hab. Tadeusz Magiera";"2017-10-11";"2020-10-10";"
    •  budżet - NCN

";602550;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"OPUS; edycja 12";"
    •  Instytut Podstaw Inżynierii Środowiska Polskiej Akademii Nauk
    •  Instytut Geofizyki Polskiej Akademii Nauk
    •  Uniwersytet Technologiczno-Humanistyczny im. Kazimierza Pułaskiego w Radomiu; Wydział Mechaniczny

";"
    •  M.Sklodowskiej-Curie 34, Zabrze
    •  Księcia Janusza 64, Warszawa
    •  Janka Krasickiego 54, Radom

";"W trakcie realizacji";
"Anatomia funkcjonalna serca- nowe metody badania morfologii oraz obrazowania mięśnia sercowego człowieka";"dr Mateusz Krystian Hołda";"2017-10-11";"2018-10-10";"
    •  budżet - NCN

";40694;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"MINIATURA; edycja 1";"
    •  Uniwersytet Jagielloński w Krakowie; Collegium Medicum; Wydział Lekarski

";"
    •  św. Anny 12, Kraków

";"W trakcie realizacji";
"Poszukiwanie markerów ekspresji genetycznej przydatnych w kontroli procesów biologicznego oczyszczania odcieków ze składowisk odpadów komunalnych";"dr Łukasz Jerzy Jurczyk";"2017-10-11";"2018-10-10";"
    •  budżet - NCN

";49500;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"MINIATURA; edycja 1";"
    •  Uniwersytet Rzeszowski; Wydział Biologiczno-Rolniczy

";"
    •  Mieczysławy Ćwiklińskiej 1, Rzeszów

";"W trakcie realizacji";
"Różnorodność repatriacji w Europie - polityki państwowe i praktyki migrantów jako wyraz ponowoczesnego nacjonalizmu";"dr Katarzyna Andrejuk";"2017-10-11";"2018-05-31";"
    •  budżet - NCN

";51015;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"UWERTURA; edycja 1";"
    •  Instytut Filozofii i Socjologii Polskiej Akademii Nauk

";"
    •  Nowy Świat 72, Warszawa

";"W trakcie realizacji";
"Badania właściwości spektroskopowych ko-domieszkowanych światłowodów polimerowych";"dr PIOTR MILUSKI";"2017-10-11";"2018-10-10";"
    •  budżet - NCN

";43670;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"MINIATURA; edycja 1";"
    •  Politechnika Białostocka; Wydział Elektryczny

";"
    •  Wiejska 45D, Białystok

";"W trakcie realizacji";
"Stereoselektywna reakcja Wittiga katalizowana tlenkami fosfetanów";"dr Kamil Feliks Dziuba";"2017-10-11";"2018-10-10";"
    •  budżet - NCN

";47300;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"MINIATURA; edycja 1";"
    •  Uniwersytet Marii Curie-Skłodowskiej w Lublinie; Wydział Chemii

";"
    •  pl. Marii Curie-Skłodowskiej 2, Lublin

";"W trakcie realizacji";
"Poznanie mechanizmów termicznie indukowanych ferroelektrycznych przemian fazowych mieszanych związków mrówczanowych";"dr hab. ADAM SIERADZKI";"2017-10-11";"2018-10-10";"
    •  budżet - NCN

";37180;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"MINIATURA; edycja 1";"
    •  Politechnika Wrocławska; Wydział Podstawowych Problemów Techniki

";"
    •  Stanisława Wyspiańskiego 27, Wrocław

";"W trakcie realizacji";
"""Fuzja i niepewność w rozprzestrzenianiu informacji""";"dr TOMASZ JAN KAJDANOWICZ";"2017-10-11";"2020-10-10";"
    •  budżet - NCN

";638500;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"OPUS; edycja 12";"
    •  Politechnika Wrocławska; Wydział Informatyki i Zarządzania

";"
    •  Ignacego Łukasiewicza 5, Wrocław

";"W trakcie realizacji";
"Badania doświadczalne elektroenergetycznych żerdzi wirowanych typu EPV/PBS 10,5/20 i EPV/PBS 12/20 wyprodukowanych przez spółke ELV PRODUKT a.s. ze Słowacji";"dr JAROSŁAW MICHAŁEK";"2017-10-11";"2018-01-31";"
    •  środki przedsiębiorstw krajowych

";28000;"Inne programy";"Inny program (Projekty realizowane na zlecenie podmiotów gospodarczych)";"
    •  Politechnika Wrocławska; Wydział Budownictwa Lądowego i Wodnego

";"
    •  Wybrzeże Stanisława Wyspiańskiego 27, Wrocław

";"Zakończony - Zrealizowany";
"Dynamika, dekoherencja i spektroskopia spinów dziurowych w kropkach kwantowych.";"Mateusz Mieczysław Krzykowski";"2017-10-11";"2021-10-10";"
    •  budżet - MNiSW

";218888;"Projekt finansowany przez ministra właściwego do spraw nauki";"Program ""Diamentowy Grant""; konkurs 45";"
    •  Politechnika Wrocławska; Wydział Podstawowych Problemów Techniki

";"
    •  Stanisława Wyspiańskiego 27, Wrocław

";"W trakcie realizacji";
"Weryfikacja projektu Sali Balowej hotelu Double Tree by Hilton Wrocław, w zakresie wentylacji i klimatyzacji, instalacji c.o., instalacji ciepła, technologicznego oraz wody lodowej, instalacja automat";"dr PAWEŁ KRZYSZTOF SZAŁAŃSKI";"2017-10-11";"2017-12-15";"
    •  środki przedsiębiorstw krajowych

";23840;"Inne programy";"Inny program (Projekty realizowane na zlecenie podmiotów gospodarczych)";"
    •  Politechnika Wrocławska; Wydział Inżynierii Środowiska

";"
    •  Plac Grunwaldzki 13, Wrocław

";"Zakończony - Zrealizowany";
"Wpływ terapii przeciwnowotworowych na stabilność genetyczną chondrocytów zróżnicowanych z ludzkich pluripotencjalnych komórek macierzystych.";"Ewelina Stelcer";"2017-10-10";"2020-10-09";"
    •  budżet - NCN

";149920;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"PRELUDIUM; edycja 12";"
    •  Uniwersytet Medyczny im. Karola Marcinkowskiego w Poznaniu; Wydział Nauk o Zdrowiu

";"
    •  Mariana Smoluchowskiego 11, Poznań

";"W trakcie realizacji";
"Analiza wpływu resweratrolu i jego metoksylowych pochodnych na ekspresję genów kanonicznych ścieżki Wnt oraz apoptozę w komórkach glejaka wielopostaciowego";"dr Aleksandra Majchrzak-Celińska";"2017-10-10";"2018-10-09";"
    •  budżet - NCN

";49995;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"MINIATURA; edycja 1";"
    •  Uniwersytet Medyczny im. Karola Marcinkowskiego w Poznaniu

";"
    •  Aleksandra Fredry 10, Poznań

";"W trakcie realizacji";
"Wpływ uprawy bezorkowej na zmiany wielkości erozji wodnej w obszarze lessowym";"dr Edyta Bogumiła Kruk";"2017-10-10";"2018-10-09";"
    •  budżet - NCN

";17295;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"MINIATURA; edycja 1";"
    •  Uniwersytet Rolniczy im. Hugona Kołłątaja w Krakowie; Wydział Inżynierii Środowiska i Geodezji

";"
    •  al. Mickiewicza 24/28, Kraków

";"W trakcie realizacji";
"Wykorzystanie modyfikowanych chemicznie kwadrupleksów RNA w terapii antysensowej";"dr Dorota Gudanis";"2017-10-10";"2018-10-09";"
    •  budżet - NCN

";49500;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"MINIATURA; edycja 1";"
    •  Instytut Chemii Bioorganicznej Polskiej Akademii Nauk

";"
    •  Zygmunta Noskowskiego 12/14, Poznań

";"W trakcie realizacji";
"Nowe 3,6,9-tripodstawione pochodne 9-H-karbazolu jako potencjalne sondy fluorescencyjne do detekcji kwadrupleksów DNA i RNA";"dr Daniel Sylwester Baranowski";"2017-10-10";"2018-10-09";"
    •  budżet - NCN

";49940;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"MINIATURA; edycja 1";"
    •  Instytut Chemii Bioorganicznej Polskiej Akademii Nauk

";"
    •  Zygmunta Noskowskiego 12/14, Poznań

";"W trakcie realizacji";
"Synteza nowych pochodnych porfirynowych o potencjalnym zastosowaniu w terapii fotodynamicznej (PDT)";"dr Zofia Jahnz-Wechmann";"2017-10-10";"2018-10-09";"
    •  budżet - NCN

";49500;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"MINIATURA; edycja 1";"
    •  Instytut Chemii Bioorganicznej Polskiej Akademii Nauk

";"
    •  Zygmunta Noskowskiego 12/14, Poznań

";"W trakcie realizacji";
"Dobór struktury elektrociepłowni spalającej biomasę z wychwytem CO2 zintegrowanej z instalacją geotermalną";"dr Paweł Jakub Gładysz";"2017-10-10";"2020-10-09";"
    •  budżet - NCN

";642269;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"SONATINA; edycja 1";"
    •  Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie; Wydział Energetyki i Paliw

";"
    •  Aleja Adama Mickiewicza 30/D-4, Kraków

";"W trakcie realizacji";
"Algorytmy online dla problemów pakowania i pokrywania";"Maciej Szymon Pacut";"2017-10-10";"2018-10-09";"
    •  budżet - NCN

";32400;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"PRELUDIUM; edycja 12";"
    •  Uniwersytet Wrocławski; Wydział Matematyki i Informatyki

";"
    •  Fryderyka Joliot-Curie 15, Wrocław

";"W trakcie realizacji";
"Wykonanie badan okresowych dla Wielozakresowego pokrycia maskujacego";"mgr inż. Waldemar KRÓLIKOWSKI";"2017-10-10";"2017-11-06";"
    •  środki przedsiębiorstw krajowych

";34000;"Inne programy";"Inny program (inny)";"
    •  Wojskowy Instytut Techniki Inżynieryjnej im. profesora Józefa Kosackiego

";"
    •  Obornicka 136, Wrocław

";"Zakończony - Zrealizowany";
"Badania uzupełniające dla Wielozakresowego Pokrycia Maskującego Zimowego";"mgr inż. Waldemar KRÓLIKOWSKI";"2017-10-10";"2017-10-16";"
    •  środki przedsiębiorstw krajowych

";2500;"Inne programy";"Inny program (inny)";"
    •  Wojskowy Instytut Techniki Inżynieryjnej im. profesora Józefa Kosackiego

";"
    •  Obornicka 136, Wrocław

";"Zakończony - Zrealizowany";
"Badanie próbek na zabrudzenie";"mgr inż. Wlademar KRÓLIKOWSKI";"2017-10-10";"2017-10-23";"
    •  środki przedsiębiorstw krajowych

";6000;"Inne programy";"Inny program (inny)";"
    •  Wojskowy Instytut Techniki Inżynieryjnej im. profesora Józefa Kosackiego

";"
    •  Obornicka 136, Wrocław

";"Zakończony - Zrealizowany";
"Ocena neurotoksyczności nanocząstek srebra, ze szczególnym uwzględnieniem wpływu na metabolizm steroidów w hypokampie";"dr Katarzyna Jolanta Dziendzikowska";"2017-10-10";"2018-10-09";"
    •  budżet - NCN

";49995;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"MINIATURA; edycja 1";"
    •  Szkoła Główna Gospodarstwa Wiejskiego w Warszawie; Wydział Nauk o Żywieniu Człowieka i Konsumpcji

";"
    •  Nowoursynowska 159C/Bud.32, Warszawa

";"W trakcie realizacji";
"Badanie potencjału elektrogennego konsorcjum bakteryjnego występującego w ściekach z przemysłu drzewnego";"dr Renata Toczyłowska-Mamińska";"2017-10-10";"2018-10-09";"
    •  budżet - NCN

";49500;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"MINIATURA; edycja 1";"
    •  Szkoła Główna Gospodarstwa Wiejskiego w Warszawie; Wydział Technologii Drewna

";"
    •  Nowoursynowska 159/Bud.34, Warszawa

";"W trakcie realizacji";
"Inedita Kazimierza Twardowskiego (1866-1938) - twórcy filozoficznej Szkoły Lwowsko-Warszawskiej.";"prof. dr hab. Anna Magdalena Brożek";"2017-10-10";"2022-10-09";"
    •  budżet - MNiSW

";825125;"Projekt finansowany przez ministra właściwego do spraw nauki";"Narodowy Program Rozwoju Humanistyki; konkurs 84";"
    •  Uniwersytet Warszawski; Wydział Filozofii i Socjologii

";"
    •  Nowy Świat 69, Warszawa

";"W trakcie realizacji";
"Test symetrii CPT w eksperymencie KLOE-2 w oparciu o rozpad Ks-> pi e nu";"Daria Kisielewska";"2017-10-10";"2019-10-09";"
    •  budżet - NCN

";81200;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"PRELUDIUM; edycja 12";"
    •  Uniwersytet Jagielloński w Krakowie; Wydział Fizyki, Astronomii i Informatyki Stosowanej

";"
    •  prof. Stanisława Łojasiewicza 11, Kraków

";"W trakcie realizacji";
"Ewolucyjne znaczenie składowania ofiar u dzierzb na przykładzie gąsiorka Lanius collurio";"dr hab. Artur Goławski";"2017-10-10";"2018-10-09";"
    •  budżet - NCN

";14720;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"MINIATURA; edycja 1";"
    •  Uniwersytet Przyrodniczo-Humanistyczny w Siedlcach; Wydział Przyrodniczy

";"
    •  Bolesława Prusa 14, Siedlce

";"W trakcie realizacji";
"Opracowanie narzędzi umożliwiających wgląd w strukturę genetyczną gatunku: identyfikacja polimorficznych loci mikrosatelitarnego DNA u słodkowodnego pluskwiaka Aphelocheirus aestivalis Fabricius, 1803 (Insecta, Heteroptera)";"dr Agnieszka Maria Kaczmarczyk";"2017-10-10";"2018-10-09";"
    •  budżet - NCN

";45450;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"MINIATURA; edycja 1";"
    •  Uniwersytet Gdański; Wydział Biologii

";"
    •  Wita Stwosza 59, Gdańsk

";"W trakcie realizacji";
"Określenie dynamiki zmian w składzie chemicznym wosków powierzchniowych liści wybranych gatunków uprawnych roślin psiankowatych na początkowym etapie ich wzrostu";"dr Łukasz Piotr Haliński";"2017-10-10";"2018-10-09";"
    •  budżet - NCN

";24365;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"MINIATURA; edycja 1";"
    •  Uniwersytet Gdański; Wydział Chemii

";"
    •  Wita Stwosza 63, Gdańsk

";"W trakcie realizacji";
"Minimalne standardy gromadzenia dowodów elektronicznych w transgranicznych postępowaniach w UE i ich wzajemna dopuszczalność";"dr Martyna Agnieszka Kusak";"2017-10-10";"2019-10-09";"
    •  budżet - NCN

";192140;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"SONATA; edycja 12";"
    •  Uniwersytet im. Adama Mickiewicza w Poznaniu; Wydział Prawa i Administracji

";"
    •  Niepodległości 53, Poznań

";"W trakcie realizacji";
"Nowa rola KAEA, silnie konserwowanej kompleksu podjednostki KEOPS/EKC, u modelowego grzyba strzępkowego Aspergillus nidulans.";"Joanna Danuta Gawlik";"2017-10-10";"2019-10-09";"
    •  budżet - NCN

";99960;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"PRELUDIUM; edycja 12";"
    •  Uniwersytet Warszawski; Centrum Nowych Technologii UW

";"
    •  Stefana Banacha 2C, Warszawa

";"W trakcie realizacji";
"Badania wyrobisk podziemnych metodą GPR (georadarową)";"dr hab. JAN STANISŁAW KUDEŁKO";"2017-10-10";"2017-12-15";"
    •  inna (KGHM CUPRUM Sp. Z o.o. Centrum Badawczo-Rozwojowe)

";18942;"Inne programy";"Inny program (Projekty realizowane na zlecenie podmiotów gospoarczych)";"
    •  Politechnika Wrocławska; Wydział Geoinżynierii, Górnictwa i Geologii

";"
    •  Na Grobli 15, Wrocław

";"Zakończony - Zrealizowany";
